	Borough	District	bororder	13-Oct	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec		Oct-13	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec		variance			
17	Brooklyn	B7	4	"101,545"	"94,892"	"83,459"	"95,504"	"102,035"	"108,457"	"102,289"	"105,800"	"97,072"	"100,271"	"101,132"	"95,369"	"105,603"	"90,438"	"78,938"	"96,019"	"97,479"	"101,365"	"107,817"	"101,558"	"96,096"	"99,373"	"99,162"	"97,890"	"102,858"	"88,677"	"88,617"	"97,672"	"95,563"	"99,273"	"107,172"	"97,868"	"102,203"	"97,795"	"98,195"	"100,970"	"100,298"		"3,341"	"3,166"	"2,736"	"3,065"	"3,389"	"3,520"	"3,349"	"3,558"	"3,280"	"3,279"	"3,359"	"3,082"	"3,425"	"3,014"	"2,680"	"3,140"	"3,289"	"3,422"	"3,621"	"3,468"	"3,278"	"3,371"	"3,335"	"3,182"	"3,416"	"2,981"	"3,015"	"3,312"	"3,231"	"3,376"	"3,577"	"3,404"	"3,483"	"3,205"	"3,334"	"3,357"	"3,305"		42450.29511			
19	Brooklyn	B9	4	"104,680"	"97,764"	"85,959"	"98,462"	"105,158"	"111,717"	"105,444"	"109,026"	"100,097"	"103,418"	"104,346"	"98,261"	"108,855"	"93,136"	"81,295"	"99,185"	"100,412"	"104,380"	"111,138"	"104,674"	"99,055"	"102,529"	"102,318"	"100,834"	"105,989"	"91,402"	"91,332"	"100,600"	"98,405"	"102,166"	"110,394"	"100,826"	"105,268"	"100,826"	"101,225"	"104,009"	"103,371"		"3,135"	"2,872"	"2,500"	"2,958"	"3,123"	"3,260"	"3,155"	"3,226"	"3,025"	"3,147"	"3,214"	"2,892"	"3,252"	"2,698"	"2,357"	"3,166"	"2,933"	"3,015"	"3,321"	"3,116"	"2,959"	"3,156"	"3,156"	"2,944"	"3,131"	"2,725"	"2,715"	"2,928"	"2,842"	"2,893"	"3,222"	"2,958"	"3,065"	"3,031"	"3,030"	"3,039"	"3,073"		42498.5756			
20	Brooklyn	B10	4	"108,065"	"100,895"	"88,627"	"101,465"	"108,485"	"115,194"	"108,826"	"112,532"	"103,268"	"106,743"	"107,678"	"101,340"	"112,403"	"96,095"	"83,950"	"102,332"	"103,656"	"107,727"	"114,763"	"108,031"	"102,172"	"105,759"	"105,596"	"104,016"	"109,400"	"94,316"	"94,263"	"103,790"	"101,468"	"105,434"	"113,924"	"104,065"	"108,571"	"103,975"	"104,271"	"107,159"	"106,576"		"3,385"	"3,131"	"2,668"	"3,003"	"3,327"	"3,477"	"3,382"	"3,506"	"3,171"	"3,325"	"3,332"	"3,079"	"3,548"	"2,959"	"2,655"	"3,147"	"3,244"	"3,347"	"3,625"	"3,357"	"3,117"	"3,230"	"3,278"	"3,182"	"3,411"	"2,914"	"2,931"	"3,190"	"3,063"	"3,268"	"3,530"	"3,239"	"3,303"	"3,149"	"3,046"	"3,150"	"3,205"		46404.69394			
14	Brooklyn	B4	4	"111,221"	"103,788"	"91,255"	"104,440"	"111,648"	"118,601"	"112,041"	"115,962"	"106,425"	"109,901"	"110,728"	"104,176"	"115,526"	"98,782"	"86,421"	"105,270"	"106,535"	"110,784"	"118,151"	"111,251"	"105,259"	"108,819"	"108,610"	"106,892"	"112,466"	"96,941"	"96,922"	"106,695"	"104,291"	"108,445"	"117,109"	"107,159"	"111,807"	"106,981"	"107,259"	"110,157"	"109,517"		"3,156"	"2,893"	"2,628"	"2,975"	"3,163"	"3,407"	"3,215"	"3,430"	"3,157"	"3,158"	"3,050"	"2,836"	"3,123"	"2,687"	"2,471"	"2,938"	"2,879"	"3,057"	"3,388"	"3,220"	"3,087"	"3,060"	"3,014"	"2,876"	"3,066"	"2,625"	"2,659"	"2,905"	"2,823"	"3,011"	"3,185"	"3,094"	"3,236"	"3,006"	"2,988"	"2,998"	"2,941"		46411.6187			
13	Brooklyn	B3	4	"115,254"	"107,487"	"94,565"	"108,355"	"115,725"	"122,963"	"116,214"	"120,196"	"110,373"	"113,967"	"114,735"	"107,837"	"119,680"	"102,267"	"89,591"	"109,188"	"110,408"	"114,834"	"122,560"	"115,356"	"109,184"	"112,884"	"112,544"	"110,788"	"116,490"	"100,449"	"100,515"	"110,589"	"108,119"	"112,545"	"121,397"	"111,114"	"115,989"	"110,962"	"111,186"	"114,154"	"113,507"		"4,033"	"3,699"	"3,310"	"3,915"	"4,077"	"4,362"	"4,173"	"4,234"	"3,948"	"4,066"	"4,007"	"3,661"	"4,154"	"3,485"	"3,170"	"3,918"	"3,873"	"4,050"	"4,409"	"4,105"	"3,925"	"4,065"	"3,934"	"3,896"	"4,024"	"3,508"	"3,593"	"3,894"	"3,828"	"4,100"	"4,288"	"3,955"	"4,182"	"3,981"	"3,927"	"3,997"	"3,990"		69451.18042			
24	Brooklyn	B14	4	"120,120"	"112,017"	"98,560"	"113,073"	"120,588"	"128,079"	"121,154"	"125,271"	"115,066"	"118,987"	"119,726"	"112,521"	"124,921"	"106,601"	"93,536"	"114,065"	"115,084"	"119,675"	"127,884"	"120,192"	"113,792"	"117,882"	"117,465"	"115,679"	"121,598"	"104,782"	"104,712"	"115,407"	"112,765"	"117,371"	"126,588"	"115,758"	"120,867"	"115,740"	"116,008"	"119,007"	"118,514"		"4,866"	"4,530"	"3,995"	"4,718"	"4,863"	"5,116"	"4,940"	"5,075"	"4,693"	"5,020"	"4,991"	"4,684"	"5,241"	"4,334"	"3,945"	"4,877"	"4,676"	"4,841"	"5,324"	"4,836"	"4,608"	"4,998"	"4,921"	"4,891"	"5,108"	"4,333"	"4,197"	"4,818"	"4,646"	"4,826"	"5,191"	"4,644"	"4,878"	"4,778"	"4,822"	"4,853"	"5,007"		94739.45654			
25	Brooklyn	B15	4	"124,790"	"116,156"	"102,143"	"117,262"	"125,203"	"132,950"	"125,719"	"129,806"	"119,284"	"123,558"	"124,390"	"116,846"	"129,545"	"110,462"	"97,131"	"118,451"	"119,495"	"124,326"	"132,682"	"124,648"	"117,957"	"122,588"	"122,156"	"120,176"	"126,160"	"108,723"	"108,649"	"119,905"	"117,251"	"121,884"	"131,493"	"120,024"	"125,261"	"120,327"	"120,747"	"123,620"	"123,006"		"4,670"	"4,139"	"3,583"	"4,189"	"4,615"	"4,871"	"4,565"	"4,535"	"4,218"	"4,571"	"4,664"	"4,325"	"4,624"	"3,861"	"3,595"	"4,386"	"4,411"	"4,651"	"4,798"	"4,456"	"4,165"	"4,706"	"4,691"	"4,497"	"4,562"	"3,941"	"3,937"	"4,498"	"4,486"	"4,513"	"4,905"	"4,266"	"4,394"	"4,587"	"4,739"	"4,613"	"4,492"		99884.89262			
21	Brooklyn	B11	4	"129,660"	"120,717"	"106,020"	"121,658"	"130,082"	"138,090"	"130,656"	"135,071"	"124,140"	"128,553"	"129,391"	"121,504"	"134,675"	"114,834"	"101,113"	"123,097"	"124,322"	"129,374"	"138,167"	"129,816"	"122,767"	"127,652"	"127,177"	"125,020"	"131,272"	"113,216"	"113,004"	"124,741"	"121,984"	"126,904"	"136,951"	"125,066"	"130,447"	"125,220"	"125,644"	"128,604"	"127,934"		"4,870"	"4,561"	"3,877"	"4,396"	"4,879"	"5,140"	"4,937"	"5,265"	"4,856"	"4,995"	"5,001"	"4,658"	"5,130"	"4,372"	"3,982"	"4,646"	"4,827"	"5,048"	"5,485"	"5,168"	"4,810"	"5,064"	"5,021"	"4,844"	"5,112"	"4,493"	"4,355"	"4,836"	"4,733"	"5,020"	"5,458"	"5,042"	"5,186"	"4,893"	"4,897"	"4,984"	"4,928"		117123.8028			
11	Brooklyn	B1	4	"134,725"	"125,444"	"110,321"	"126,781"	"135,402"	"143,469"	"135,642"	"139,555"	"128,400"	"133,730"	"134,545"	"126,330"	"139,862"	"119,532"	"105,389"	"128,599"	"129,454"	"134,473"	"143,625"	"134,134"	"127,101"	"132,855"	"132,551"	"129,935"	"136,661"	"118,030"	"117,779"	"130,253"	"127,224"	"132,085"	"142,503"	"129,418"	"134,939"	"130,375"	"130,860"	"133,854"	"133,343"		"5,065"	"4,727"	"4,301"	"5,123"	"5,320"	"5,379"	"4,986"	"4,484"	"4,260"	"5,177"	"5,154"	"4,826"	"5,187"	"4,698"	"4,276"	"5,502"	"5,132"	"5,099"	"5,458"	"4,318"	"4,334"	"5,203"	"5,374"	"4,915"	"5,389"	"4,814"	"4,775"	"5,512"	"5,240"	"5,181"	"5,552"	"4,352"	"4,492"	"5,155"	"5,216"	"5,250"	"5,409"		157643.5223			
15	Brooklyn	B5	4	"138,973"	"129,454"	"113,811"	"130,936"	"139,881"	"148,331"	"140,192"	"144,571"	"132,863"	"138,104"	"138,908"	"130,229"	"144,522"	"123,116"	"108,788"	"132,888"	"133,813"	"138,900"	"148,612"	"139,062"	"131,644"	"137,487"	"136,987"	"134,222"	"141,338"	"121,810"	"121,745"	"134,721"	"131,579"	"136,695"	"147,494"	"134,283"	"139,856"	"134,886"	"135,199"	"138,341"	"137,778"		"4,248"	"4,010"	"3,490"	"4,155"	"4,479"	"4,862"	"4,550"	"5,016"	"4,463"	"4,374"	"4,363"	"3,899"	"4,660"	"3,584"	"3,399"	"4,289"	"4,359"	"4,427"	"4,987"	"4,928"	"4,543"	"4,632"	"4,436"	"4,287"	"4,677"	"3,780"	"3,966"	"4,468"	"4,355"	"4,610"	"4,991"	"4,865"	"4,917"	"4,511"	"4,339"	"4,487"	"4,435"		161126.5829			
27	Brooklyn	B17	4	"143,191"	"133,256"	"117,126"	"134,871"	"144,162"	"152,973"	"144,782"	"149,478"	"137,337"	"142,490"	"143,120"	"134,310"	"149,197"	"126,785"	"112,053"	"137,073"	"138,004"	"143,326"	"153,503"	"143,829"	"136,158"	"141,930"	"141,235"	"138,465"	"145,910"	"125,423"	"125,454"	"138,908"	"135,672"	"141,059"	"152,396"	"138,994"	"144,672"	"139,245"	"139,418"	"142,620"	"142,208"		"4,218"	"3,802"	"3,315"	"3,935"	"4,281"	"4,642"	"4,590"	"4,907"	"4,474"	"4,386"	"4,212"	"4,081"	"4,675"	"3,669"	"3,265"	"4,185"	"4,191"	"4,426"	"4,891"	"4,767"	"4,514"	"4,443"	"4,248"	"4,243"	"4,572"	"3,613"	"3,709"	"4,187"	"4,093"	"4,364"	"4,902"	"4,711"	"4,816"	"4,359"	"4,219"	"4,279"	"4,430"		164473.4682			
22	Brooklyn	B12	4	"149,369"	"138,975"	"122,268"	"141,074"	"150,569"	"159,398"	"150,885"	"154,804"	"142,225"	"148,793"	"149,649"	"140,210"	"155,633"	"132,394"	"117,384"	"143,797"	"144,151"	"149,507"	"160,104"	"149,075"	"141,233"	"148,523"	"147,707"	"144,582"	"152,405"	"131,176"	"131,082"	"145,478"	"142,261"	"147,426"	"159,031"	"144,169"	"149,889"	"145,352"	"145,902"	"148,939"	"148,560"		"6,178"	"5,719"	"5,142"	"6,203"	"6,407"	"6,425"	"6,103"	"5,326"	"4,888"	"6,303"	"6,529"	"5,900"	"6,436"	"5,609"	"5,331"	"6,724"	"6,147"	"6,181"	"6,601"	"5,246"	"5,075"	"6,593"	"6,472"	"6,117"	"6,495"	"5,753"	"5,628"	"6,570"	"6,589"	"6,367"	"6,635"	"5,175"	"5,217"	"6,107"	"6,484"	"6,319"	"6,352"		281897.046			
28	Brooklyn	B18	4	"154,686"	"143,544"	"126,141"	"145,906"	"155,957"	"165,442"	"156,665"	"160,982"	"147,813"	"154,322"	"155,123"	"145,397"	"161,320"	"136,858"	"121,124"	"148,768"	"149,527"	"155,276"	"166,191"	"155,060"	"146,764"	"154,145"	"153,042"	"150,036"	"157,970"	"135,622"	"135,445"	"150,663"	"147,482"	"153,067"	"165,246"	"150,029"	"155,855"	"150,872"	"151,293"	"154,421"	"154,023"		"5,317"	"4,569"	"3,873"	"4,832"	"5,388"	"6,044"	"5,780"	"6,178"	"5,588"	"5,529"	"5,474"	"5,187"	"5,687"	"4,464"	"3,740"	"4,971"	"5,376"	"5,769"	"6,087"	"5,985"	"5,531"	"5,622"	"5,335"	"5,454"	"5,565"	"4,446"	"4,363"	"5,185"	"5,221"	"5,641"	"6,215"	"5,860"	"5,966"	"5,520"	"5,391"	"5,482"	"5,463"		346863.2432			
44	Queens	Q6	5	"157,570"	"146,161"	"128,370"	"148,477"	"158,838"	"168,471"	"159,539"	"164,047"	"150,627"	"157,171"	"157,976"	"148,103"	"164,213"	"139,368"	"123,266"	"151,386"	"152,276"	"158,087"	"169,211"	"158,005"	"149,533"	"157,028"	"155,869"	"152,861"	"160,865"	"138,108"	"137,865"	"153,401"	"150,200"	"155,901"	"168,219"	"152,852"	"158,840"	"153,699"	"154,118"	"157,224"	"156,837"		"2,884"	"2,617"	"2,229"	"2,571"	"2,881"	"3,029"	"2,874"	"3,065"	"2,814"	"2,849"	"2,853"	"2,706"	"2,893"	"2,510"	"2,142"	"2,618"	"2,749"	"2,811"	"3,020"	"2,945"	"2,769"	"2,883"	"2,827"	"2,825"	"2,895"	"2,486"	"2,420"	"2,738"	"2,718"	"2,834"	"2,973"	"2,823"	"2,985"	"2,827"	"2,825"	"2,803"	"2,814"		40695.70051			
40	Queens	Q2	5	"160,426"	"148,826"	"130,634"	"151,199"	"161,732"	"171,548"	"162,452"	"167,183"	"153,450"	"160,021"	"160,872"	"150,754"	"167,220"	"142,011"	"125,518"	"154,129"	"155,114"	"161,006"	"172,364"	"161,030"	"152,412"	"159,990"	"158,826"	"155,650"	"163,894"	"140,676"	"140,478"	"156,314"	"153,008"	"158,843"	"171,372"	"155,784"	"161,933"	"156,639"	"157,059"	"160,165"	"159,747"		"2,856"	"2,665"	"2,264"	"2,722"	"2,894"	"3,077"	"2,913"	"3,136"	"2,823"	"2,850"	"2,896"	"2,651"	"3,007"	"2,643"	"2,252"	"2,743"	"2,838"	"2,919"	"3,153"	"3,025"	"2,879"	"2,962"	"2,957"	"2,789"	"3,029"	"2,568"	"2,613"	"2,913"	"2,808"	"2,942"	"3,153"	"2,932"	"3,093"	"2,940"	"2,941"	"2,941"	"2,910"		41467.24617			
39	Queens	Q1	5	"164,576"	"152,695"	"133,910"	"155,116"	"165,979"	"176,021"	"166,703"	"171,669"	"157,508"	"164,147"	"165,092"	"154,650"	"171,591"	"145,691"	"128,621"	"158,074"	"159,180"	"165,128"	"176,820"	"165,282"	"156,424"	"164,059"	"162,914"	"159,630"	"168,027"	"144,226"	"144,139"	"160,248"	"156,844"	"162,804"	"175,611"	"159,704"	"166,046"	"160,555"	"161,027"	"164,136"	"163,653"		"4,150"	"3,869"	"3,276"	"3,917"	"4,247"	"4,473"	"4,251"	"4,486"	"4,058"	"4,126"	"4,220"	"3,896"	"4,371"	"3,680"	"3,103"	"3,945"	"4,066"	"4,122"	"4,456"	"4,252"	"4,012"	"4,069"	"4,088"	"3,980"	"4,133"	"3,550"	"3,661"	"3,934"	"3,836"	"3,961"	"4,239"	"3,920"	"4,113"	"3,916"	"3,968"	"3,971"	"3,906"		82300.83711			
42	Queens	Q4	5	"168,815"	"156,688"	"137,310"	"159,019"	"170,195"	"180,516"	"171,046"	"176,357"	"161,795"	"168,393"	"169,359"	"158,511"	"176,024"	"149,584"	"131,953"	"162,093"	"163,333"	"169,363"	"181,405"	"169,765"	"160,715"	"168,331"	"167,112"	"163,675"	"172,428"	"147,963"	"147,962"	"164,373"	"160,843"	"167,043"	"180,087"	"163,869"	"170,345"	"164,572"	"164,921"	"168,099"	"167,624"		"4,239"	"3,993"	"3,400"	"3,903"	"4,216"	"4,495"	"4,343"	"4,688"	"4,287"	"4,246"	"4,267"	"3,861"	"4,433"	"3,893"	"3,332"	"4,019"	"4,153"	"4,235"	"4,585"	"4,483"	"4,291"	"4,272"	"4,198"	"4,045"	"4,401"	"3,737"	"3,823"	"4,125"	"3,999"	"4,239"	"4,476"	"4,165"	"4,299"	"4,017"	"3,894"	"3,963"	"3,971"		82740.5084			
46	Queens	Q8	5	"172,519"	"159,926"	"140,047"	"162,281"	"173,938"	"184,567"	"174,849"	"180,442"	"165,515"	"172,211"	"173,111"	"162,069"	"179,939"	"152,721"	"134,647"	"165,518"	"166,857"	"173,156"	"185,517"	"173,733"	"164,372"	"172,142"	"170,811"	"167,477"	"176,220"	"151,061"	"151,062"	"167,891"	"164,397"	"170,802"	"184,174"	"167,700"	"174,292"	"168,339"	"168,534"	"171,750"	"171,166"		"3,704"	"3,238"	"2,737"	"3,262"	"3,743"	"4,051"	"3,803"	"4,085"	"3,720"	"3,818"	"3,752"	"3,558"	"3,915"	"3,137"	"2,694"	"3,425"	"3,524"	"3,793"	"4,112"	"3,968"	"3,657"	"3,811"	"3,699"	"3,802"	"3,792"	"3,098"	"3,100"	"3,518"	"3,554"	"3,759"	"4,087"	"3,831"	"3,947"	"3,767"	"3,613"	"3,651"	"3,542"		115652.7845			
52	Queens	Q14	5	"175,774"	"162,642"	"142,370"	"165,167"	"177,146"	"188,106"	"178,322"	"184,160"	"168,914"	"175,525"	"176,334"	"164,851"	"183,135"	"155,412"	"136,861"	"168,474"	"170,056"	"176,500"	"189,094"	"177,412"	"167,739"	"175,360"	"173,862"	"170,400"	"179,316"	"153,583"	"153,501"	"170,832"	"167,421"	"174,020"	"187,600"	"171,126"	"177,770"	"171,527"	"171,398"	"174,583"	"174,050"		"3,255"	"2,716"	"2,323"	"2,886"	"3,208"	"3,539"	"3,473"	"3,718"	"3,399"	"3,314"	"3,223"	"2,782"	"3,196"	"2,691"	"2,214"	"2,956"	"3,199"	"3,344"	"3,577"	"3,679"	"3,367"	"3,218"	"3,051"	"2,923"	"3,096"	"2,522"	"2,439"	"2,941"	"3,024"	"3,218"	"3,426"	"3,426"	"3,478"	"3,188"	"2,864"	"2,833"	"2,884"		131991.0533			
49	Queens	Q11	5	"178,887"	"165,134"	"144,462"	"167,742"	"180,280"	"191,637"	"181,567"	"187,452"	"171,930"	"178,579"	"179,465"	"168,001"	"186,447"	"157,844"	"138,879"	"171,067"	"173,102"	"179,823"	"192,533"	"180,653"	"170,770"	"178,478"	"176,954"	"173,837"	"182,444"	"155,983"	"155,887"	"173,674"	"170,281"	"177,204"	"190,961"	"174,232"	"180,990"	"174,598"	"174,451"	"177,603"	"176,607"		"3,113"	"2,492"	"2,092"	"2,575"	"3,134"	"3,531"	"3,245"	"3,292"	"3,016"	"3,054"	"3,131"	"3,150"	"3,312"	"2,432"	"2,018"	"2,593"	"3,046"	"3,323"	"3,439"	"3,241"	"3,031"	"3,118"	"3,092"	"3,437"	"3,128"	"2,400"	"2,386"	"2,842"	"2,860"	"3,184"	"3,361"	"3,106"	"3,220"	"3,071"	"3,053"	"3,020"	"2,557"		137556.4105			
43	Queens	Q5	5	"183,829"	"169,542"	"148,152"	"172,191"	"185,369"	"197,103"	"186,513"	"192,504"	"176,649"	"183,364"	"184,407"	"172,542"	"191,528"	"162,075"	"142,418"	"175,518"	"178,024"	"184,964"	"197,773"	"185,583"	"175,343"	"183,220"	"181,791"	"178,485"	"187,380"	"160,145"	"159,963"	"178,356"	"174,848"	"182,034"	"195,986"	"178,972"	"185,908"	"179,298"	"179,107"	"182,306"	"181,107"		"4,942"	"4,408"	"3,690"	"4,449"	"5,089"	"5,466"	"4,946"	"5,052"	"4,719"	"4,785"	"4,942"	"4,541"	"5,081"	"4,231"	"3,539"	"4,451"	"4,922"	"5,141"	"5,240"	"4,930"	"4,573"	"4,742"	"4,837"	"4,648"	"4,936"	"4,162"	"4,076"	"4,682"	"4,567"	"4,830"	"5,025"	"4,740"	"4,918"	"4,700"	"4,656"	"4,703"	"4,500"		151611.0694			
47	Queens	Q9	5	"187,861"	"173,034"	"151,163"	"175,825"	"189,474"	"201,647"	"190,796"	"197,051"	"180,703"	"187,404"	"188,526"	"176,327"	"195,754"	"165,480"	"145,328"	"179,198"	"182,072"	"189,200"	"202,360"	"190,019"	"179,466"	"187,288"	"185,769"	"182,460"	"191,499"	"163,452"	"163,311"	"182,246"	"178,695"	"186,238"	"200,512"	"183,209"	"190,237"	"183,319"	"183,136"	"186,368"	"185,054"		"4,032"	"3,492"	"3,011"	"3,634"	"4,105"	"4,544"	"4,283"	"4,547"	"4,054"	"4,040"	"4,119"	"3,785"	"4,226"	"3,405"	"2,910"	"3,680"	"4,048"	"4,236"	"4,587"	"4,436"	"4,123"	"4,068"	"3,978"	"3,975"	"4,119"	"3,307"	"3,348"	"3,890"	"3,847"	"4,204"	"4,526"	"4,237"	"4,329"	"4,021"	"4,029"	"4,062"	"3,947"		158354.5376			
41	Queens	Q3	5	"192,590"	"177,345"	"154,878"	"180,180"	"194,272"	"206,891"	"195,730"	"202,365"	"185,557"	"192,257"	"193,423"	"180,699"	"200,826"	"169,755"	"148,826"	"183,715"	"186,833"	"194,094"	"207,722"	"195,308"	"184,311"	"192,197"	"190,698"	"187,138"	"196,563"	"167,558"	"167,577"	"186,949"	"183,316"	"191,194"	"205,854"	"188,303"	"195,477"	"188,197"	"188,007"	"191,322"	"189,868"		"4,729"	"4,311"	"3,715"	"4,355"	"4,798"	"5,244"	"4,934"	"5,314"	"4,854"	"4,853"	"4,897"	"4,372"	"5,072"	"4,275"	"3,498"	"4,517"	"4,761"	"4,894"	"5,362"	"5,289"	"4,845"	"4,909"	"4,929"	"4,678"	"5,064"	"4,106"	"4,266"	"4,703"	"4,621"	"4,956"	"5,342"	"5,094"	"5,240"	"4,878"	"4,871"	"4,954"	"4,814"		175651.103			
48	Queens	Q10	5	"196,375"	"180,433"	"157,515"	"183,483"	"198,119"	"211,341"	"199,970"	"206,819"	"189,457"	"196,114"	"197,273"	"184,206"	"204,774"	"172,822"	"151,364"	"187,094"	"190,643"	"198,247"	"212,114"	"199,576"	"188,274"	"196,069"	"194,267"	"190,409"	"199,994"	"170,309"	"170,320"	"190,250"	"186,642"	"194,883"	"209,871"	"192,092"	"199,303"	"191,718"	"191,433"	"194,750"	"193,170"		"3,785"	"3,088"	"2,637"	"3,303"	"3,847"	"4,450"	"4,240"	"4,454"	"3,900"	"3,857"	"3,850"	"3,507"	"3,948"	"3,067"	"2,538"	"3,379"	"3,810"	"4,153"	"4,392"	"4,268"	"3,963"	"3,872"	"3,569"	"3,271"	"3,431"	"2,751"	"2,743"	"3,301"	"3,326"	"3,689"	"4,017"	"3,789"	"3,826"	"3,521"	"3,426"	"3,428"	"3,302"		239105.3294			
45	Queens	Q7	5	"202,996"	"186,168"	"162,366"	"189,272"	"204,708"	"218,588"	"206,841"	"214,073"	"196,086"	"202,780"	"203,956"	"190,500"	"211,622"	"178,445"	"156,197"	"192,950"	"197,096"	"205,113"	"219,312"	"206,682"	"194,972"	"202,798"	"200,875"	"197,034"	"206,716"	"175,811"	"175,809"	"196,550"	"192,882"	"201,534"	"217,115"	"198,836"	"206,401"	"198,346"	"197,995"	"201,282"	"199,550"		"6,621"	"5,735"	"4,851"	"5,789"	"6,589"	"7,247"	"6,871"	"7,254"	"6,629"	"6,666"	"6,683"	"6,294"	"6,848"	"5,623"	"4,833"	"5,856"	"6,453"	"6,866"	"7,198"	"7,106"	"6,698"	"6,729"	"6,608"	"6,625"	"6,722"	"5,502"	"5,489"	"6,300"	"6,240"	"6,651"	"7,244"	"6,744"	"7,098"	"6,628"	"6,562"	"6,532"	"6,380"		365753.534			
51	Queens	Q13	5	"208,185"	"190,308"	"165,806"	"193,699"	"210,214"	"224,985"	"212,838"	"220,421"	"201,799"	"208,218"	"209,338"	"195,540"	"217,202"	"182,410"	"159,574"	"197,443"	"202,406"	"211,047"	"225,533"	"212,812"	"200,625"	"208,319"	"205,982"	"202,476"	"212,068"	"179,767"	"179,764"	"201,331"	"197,835"	"207,328"	"223,300"	"204,602"	"212,411"	"203,768"	"203,159"	"206,704"	"204,608"		"5,189"	"4,140"	"3,440"	"4,427"	"5,506"	"6,397"	"5,997"	"6,348"	"5,713"	"5,438"	"5,382"	"5,040"	"5,580"	"3,965"	"3,377"	"4,493"	"5,310"	"5,934"	"6,221"	"6,130"	"5,653"	"5,521"	"5,107"	"5,442"	"5,352"	"3,956"	"3,955"	"4,781"	"4,953"	"5,794"	"6,185"	"5,766"	"6,010"	"5,422"	"5,164"	"5,422"	"5,058"		614684.2454			
50	Queens	Q12	5	"214,584"	"195,680"	"170,497"	"199,459"	"216,828"	"232,580"	"220,098"	"228,147"	"208,722"	"214,867"	"215,807"	"201,595"	"224,063"	"187,680"	"164,102"	"203,288"	"209,071"	"218,210"	"233,223"	"220,381"	"207,584"	"215,173"	"212,413"	"209,078"	"218,770"	"184,937"	"185,044"	"207,483"	"204,086"	"214,364"	"230,938"	"211,895"	"219,974"	"210,559"	"209,589"	"213,084"	"211,073"		"6,399"	"5,372"	"4,691"	"5,760"	"6,614"	"7,595"	"7,260"	"7,726"	"6,923"	"6,649"	"6,469"	"6,055"	"6,861"	"5,270"	"4,528"	"5,845"	"6,665"	"7,163"	"7,690"	"7,569"	"6,959"	"6,854"	"6,431"	"6,602"	"6,702"	"5,170"	"5,280"	"6,152"	"6,251"	"7,036"	"7,638"	"7,293"	"7,563"	"6,791"	"6,430"	"6,380"	"6,465"		677057.7516			
																																										"214,584"																																				"211,073"					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
		Row Labels																																								13-Oct	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec					
		Grand total																																								"214,588"	"195,681"	"170,491"	"199,459"	"216,828"	"232,580"	"220,100"	"228,148"	"208,722"	"214,869"	"215,804"	"201,594"	"224,063"	"187,675"	"164,101"	"203,289"	"209,068"	"218,206"	"233,226"	"220,381"	"207,588"	"215,170"	"212,414"	"209,076"	"218,767"	"184,939"	"185,045"	"207,483"	"204,084"	"214,362"	"230,935"	"211,895"	"219,975"	"210,557"	"209,587"	"213,083"	"211,070"					
