Borough,District,Jan 2014,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,Jan 2015,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,Jan 2016,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec
Manhattan,M11,2153,1907,2132,2165,2311,2229,2290,2117,2213,2230,2084,2359,2090,1854,2235,2132,2246,2442,2219,2140,2257,2249,2162,2380,2074,2080,2256,2161,2298,2339,2161,2265,2272,2234,2267,2318
Manhattan,M6,5028,4496,4865,5092,5424,5052,5229,4903,5168,5248,4966,5388,4944,4331,5074,4920,5131,5466,4983,4859,5107,5239,4922,5399,4740,4727,5095,4935,5153,5270,4825,5095,5133,5142,5169,5235
Manhattan,"M1,2",8451,7661,8117,8502,9020,8372,8503,7992,8537,8730,8275,8905,8196,7342,8415,8137,8520,9027,8172,7948,8438,8733,8260,8838,7848,7941,8435,8192,8484,8776,7882,8320,8434,8528,8529,8621
Manhattan,M9,10815,9765,10500,10986,11732,10865,11066,10411,11054,11249,10619,11501,10479,9294,10789,10399,11017,11602,10574,10291,10872,11172,10559,11351,10030,10116,10784,10483,10872,11333,10193,10807,10826,10921,10934,11061
Manhattan,M3,13787,12454,13310,13976,14877,13839,14192,13367,14053,14322,13449,14603,13316,11808,13764,13327,14010,14880,13687,13244,13851,14175,13400,14323,12713,12793,13678,13388,13770,14559,13081,13930,13760,13839,13837,13975
Manhattan,M10,16558,14801,16046,16765,17812,16674,17191,16137,16858,17154,16102,17582,15931,14132,16573,15943,16736,17906,16614,16024,16721,16965,16088,17234,15258,15319,16452,16051,16562,17473,15887,16875,16542,16547,16647,16795
Manhattan,"M4,5",20209,18058,19520,20357,21608,20231,20830,19567,20492,20895,19550,21325,19376,17217,20144,19339,20334,21726,20131,19441,20318,20677,19579,20952,18574,18704,20049,19570,20130,21314,19315,20514,20197,20202,20305,20515
Manhattan,M12,25115,22356,24448,25383,26857,25266,26002,24430,25543,25940,24249,26605,23992,21177,25052,24058,25148,26947,25089,24185,25213,25569,24366,26065,23035,23164,24980,24251,24799,26539,24063,25585,25038,25071,25351,25542
Manhattan,M7,30326,26886,29433,30642,32360,30401,31055,29152,30818,31307,29296,32019,29001,25499,30098,29059,30258,32355,29892,28813,30292,30829,29443,31369,27777,27831,30014,29205,29713,31811,28621,30410,30041,30143,30493,30658
Manhattan,M8,35820,31761,34558,36226,38159,35743,36259,33948,36296,36983,34694,37643,34217,30233,35336,34354,35701,38033,34757,33478,35682,36476,34713,36946,32871,32689,35288,34382,34980,37296,33289,35220,35165,35568,35980,36137
Staten Island,S2,39382,34680,38294,40673,43207,40561,41009,38093,40558,41246,38776,42085,37564,33050,39046,38699,40405,42854,39272,37599,39929,40614,39072,41189,36235,36036,39197,38473,39502,42112,37539,39629,39252,39638,40321,40246
Staten Island,S1,43694,38226,42985,46087,49245,46326,46808,43187,45746,46386,43599,47566,41690,36507,43752,44032,45889,48682,44676,42596,45016,45531,44253,46378,40275,40217,44035,43351,44881,47877,42820,45084,44247,44580,45463,45260
Staten Island,S3,48646,42123,47952,52250,56164,52670,53027,48713,51310,52102,49278,53774,46282,40283,48674,49975,52421,55202,50681,47978,50676,51125,50263,52319,44920,44653,49412,48944,51057,54448,48641,50947,49666,50026,51344,50856
Bronx,BX7,50996,44215,50247,54675,58676,55053,55567,51021,53697,54510,51618,56376,48542,42181,50916,52267,54774,57701,53052,50214,52987,53470,52570,54790,47166,46752,51716,51197,53394,56926,50991,53370,52019,52382,53752,53277
Bronx,BX5,54322,47294,53721,58159,62300,58479,59280,54453,57216,57927,54857,60041,51714,45045,54342,55565,58111,61351,56575,53609,56447,56867,55936,58400,50359,50020,55236,54537,56714,60599,54476,56996,55442,55790,57259,56861
Bronx,"BX1,2",57735,50403,57232,61598,65878,61946,62959,57854,60647,61324,58053,63695,54916,47866,57826,58820,61431,64907,60087,56932,59837,60134,59222,61930,53423,53123,58585,57731,60010,64227,57896,60580,58803,59119,60785,60352
Bronx,BX6,61220,53662,60904,65264,69649,65576,66835,61406,64276,64897,61464,67565,58233,50779,61408,62285,64932,68735,63814,60513,63432,63708,62788,65739,56831,56477,62251,61266,63527,68193,61560,64471,62430,62800,64573,64151
Bronx,BX4,65265,57413,65140,69484,74024,69755,71321,65524,68426,69025,65397,72030,62077,54185,65484,66173,68874,73028,68022,64518,67448,67699,66784,70006,60513,60372,66369,65147,67564,72417,65680,68759,66440,66835,68804,68361
Bronx,"BX3,6",69110,60954,69147,73568,78158,73707,75597,69417,72366,72977,69069,76308,65728,57405,69464,69958,72709,77200,72086,68446,71391,71525,70669,74162,64220,64127,70438,68895,71378,76694,69657,73011,70391,70834,73001,72508
Bronx,BX9,71328,62882,71420,76188,80990,76325,78363,71863,74860,75435,71448,78910,67857,59169,71709,72468,75351,79919,74729,70894,73892,74028,73153,76770,66408,66247,72902,71359,74048,79484,72229,75623,72875,73338,75657,75046
Bronx,BX10,74020,65238,74205,79211,84289,79445,81674,74846,77892,78498,74338,82092,70589,61404,74515,75497,78478,83204,78001,73929,76944,77113,76250,79992,69057,68869,75891,74289,77182,82891,75373,78813,76025,76395,78730,78106
Bronx,BX8,77564,68300,77914,83073,88421,83308,85811,78633,81602,82314,77968,86203,74054,64390,78193,79302,82409,87307,82016,77708,80707,80817,79974,83954,72451,72262,79672,77977,80983,87104,79319,82857,79785,80164,82616,82033
Bronx,BX11,80911,71157,81494,86978,92693,87297,90162,82535,85437,86049,81468,90248,77264,67027,81749,83023,86362,91533,86226,81565,84524,84505,83763,87918,75689,75529,83341,81612,84932,91384,83387,87081,83588,83866,86463,85860
Brooklyn,B2,83243,73188,83846,89492,95320,89741,92599,84825,87910,88591,83815,92746,79427,69088,84104,85441,88850,94152,88617,83893,86977,87042,86181,90427,77854,77737,85727,84004,87322,94007,85687,89481,85991,86254,88892,88290
Brooklyn,B16,85027,74852,85695,91423,97357,91713,94750,86836,89881,90551,85654,94793,81087,70624,85994,87335,90817,96348,90745,85904,88950,88990,88094,92529,79605,79476,87738,85912,89260,96262,87770,91675,87997,88224,90919,90325
Brooklyn,B13,87016,76629,87720,93585,99667,93921,97095,89041,92079,92730,87613,96952,82974,72357,88073,89423,92975,98719,93054,88025,91095,91062,90073,94612,81451,81272,89763,87898,91316,98547,89905,93933,89988,90259,92937,92293
Brooklyn,B6,89257,78517,89846,95950,102116,96148,99390,91099,94272,95033,89750,99313,85063,74131,90185,91633,95251,101179,95273,90111,93308,93191,92089,96704,83358,83187,91786,89853,93370,100696,91837,95931,91979,92267,95023,94362
Brooklyn,B8,91726,80723,92439,98646,104937,98940,102242,93792,96992,97773,92287,102178,87424,76258,92879,94190,97943,104196,98090,92818,96002,95827,94708,99442,85696,85602,94360,92332,95897,103595,94464,98720,94590,94861,97613,96993
Brooklyn,B7,94892,83459,95504,102035,108457,102289,105800,97072,100271,101132,95369,105603,90438,78938,96019,97479,101365,107817,101558,96096,99373,99162,97890,102858,88677,88617,97672,95563,99273,107172,97868,102203,97795,98195,100970,100298
Brooklyn,B9,97764,85959,98462,105158,111717,105444,109026,100097,103418,104346,98261,108855,93136,81295,99185,100412,104380,111138,104674,99055,102529,102318,100834,105989,91402,91332,100600,98405,102166,110394,100826,105268,100826,101225,104009,103371
Brooklyn,B10,100895,88627,101465,108485,115194,108826,112532,103268,106743,107678,101340,112403,96095,83950,102332,103656,107727,114763,108031,102172,105759,105596,104016,109400,94316,94263,103790,101468,105434,113924,104065,108571,103975,104271,107159,106576
Brooklyn,B4,103788,91255,104440,111648,118601,112041,115962,106425,109901,110728,104176,115526,98782,86421,105270,106535,110784,118151,111251,105259,108819,108610,106892,112466,96941,96922,106695,104291,108445,117109,107159,111807,106981,107259,110157,109517
Brooklyn,B3,107487,94565,108355,115725,122963,116214,120196,110373,113967,114735,107837,119680,102267,89591,109188,110408,114834,122560,115356,109184,112884,112544,110788,116490,100449,100515,110589,108119,112545,121397,111114,115989,110962,111186,114154,113507
Brooklyn,B14,112017,98560,113073,120588,128079,121154,125271,115066,118987,119726,112521,124921,106601,93536,114065,115084,119675,127884,120192,113792,117882,117465,115679,121598,104782,104712,115407,112765,117371,126588,115758,120867,115740,116008,119007,118514
Brooklyn,B15,116156,102143,117262,125203,132950,125719,129806,119284,123558,124390,116846,129545,110462,97131,118451,119495,124326,132682,124648,117957,122588,122156,120176,126160,108723,108649,119905,117251,121884,131493,120024,125261,120327,120747,123620,123006
Brooklyn,B11,120717,106020,121658,130082,138090,130656,135071,124140,128553,129391,121504,134675,114834,101113,123097,124322,129374,138167,129816,122767,127652,127177,125020,131272,113216,113004,124741,121984,126904,136951,125066,130447,125220,125644,128604,127934
Brooklyn,B1,125444,110321,126781,135402,143469,135642,139555,128400,133730,134545,126330,139862,119532,105389,128599,129454,134473,143625,134134,127101,132855,132551,129935,136661,118030,117779,130253,127224,132085,142503,129418,134939,130375,130860,133854,133343
Brooklyn,B5,129454,113811,130936,139881,148331,140192,144571,132863,138104,138908,130229,144522,123116,108788,132888,133813,138900,148612,139062,131644,137487,136987,134222,141338,121810,121745,134721,131579,136695,147494,134283,139856,134886,135199,138341,137778
Brooklyn,B17,133256,117126,134871,144162,152973,144782,149478,137337,142490,143120,134310,149197,126785,112053,137073,138004,143326,153503,143829,136158,141930,141235,138465,145910,125423,125454,138908,135672,141059,152396,138994,144672,139245,139418,142620,142208
Brooklyn,B12,138975,122268,141074,150569,159398,150885,154804,142225,148793,149649,140210,155633,132394,117384,143797,144151,149507,160104,149075,141233,148523,147707,144582,152405,131176,131082,145478,142261,147426,159031,144169,149889,145352,145902,148939,148560
Brooklyn,B18,143544,126141,145906,155957,165442,156665,160982,147813,154322,155123,145397,161320,136858,121124,148768,149527,155276,166191,155060,146764,154145,153042,150036,157970,135622,135445,150663,147482,153067,165246,150029,155855,150872,151293,154421,154023
Queens,Q6,146161,128370,148477,158838,168471,159539,164047,150627,157171,157976,148103,164213,139368,123266,151386,152276,158087,169211,158005,149533,157028,155869,152861,160865,138108,137865,153401,150200,155901,168219,152852,158840,153699,154118,157224,156837
Queens,Q2,148826,130634,151199,161732,171548,162452,167183,153450,160021,160872,150754,167220,142011,125518,154129,155114,161006,172364,161030,152412,159990,158826,155650,163894,140676,140478,156314,153008,158843,171372,155784,161933,156639,157059,160165,159747
Queens,Q1,152695,133910,155116,165979,176021,166703,171669,157508,164147,165092,154650,171591,145691,128621,158074,159180,165128,176820,165282,156424,164059,162914,159630,168027,144226,144139,160248,156844,162804,175611,159704,166046,160555,161027,164136,163653
Queens,Q4,156688,137310,159019,170195,180516,171046,176357,161795,168393,169359,158511,176024,149584,131953,162093,163333,169363,181405,169765,160715,168331,167112,163675,172428,147963,147962,164373,160843,167043,180087,163869,170345,164572,164921,168099,167624
Queens,Q8,159926,140047,162281,173938,184567,174849,180442,165515,172211,173111,162069,179939,152721,134647,165518,166857,173156,185517,173733,164372,172142,170811,167477,176220,151061,151062,167891,164397,170802,184174,167700,174292,168339,168534,171750,171166
Queens,Q14,162642,142370,165167,177146,188106,178322,184160,168914,175525,176334,164851,183135,155412,136861,168474,170056,176500,189094,177412,167739,175360,173862,170400,179316,153583,153501,170832,167421,174020,187600,171126,177770,171527,171398,174583,174050
Queens,Q11,165134,144462,167742,180280,191637,181567,187452,171930,178579,179465,168001,186447,157844,138879,171067,173102,179823,192533,180653,170770,178478,176954,173837,182444,155983,155887,173674,170281,177204,190961,174232,180990,174598,174451,177603,176607
Queens,Q5,169542,148152,172191,185369,197103,186513,192504,176649,183364,184407,172542,191528,162075,142418,175518,178024,184964,197773,185583,175343,183220,181791,178485,187380,160145,159963,178356,174848,182034,195986,178972,185908,179298,179107,182306,181107
Queens,Q9,173034,151163,175825,189474,201647,190796,197051,180703,187404,188526,176327,195754,165480,145328,179198,182072,189200,202360,190019,179466,187288,185769,182460,191499,163452,163311,182246,178695,186238,200512,183209,190237,183319,183136,186368,185054
Queens,Q3,177345,154878,180180,194272,206891,195730,202365,185557,192257,193423,180699,200826,169755,148826,183715,186833,194094,207722,195308,184311,192197,190698,187138,196563,167558,167577,186949,183316,191194,205854,188303,195477,188197,188007,191322,189868
Queens,Q10,180433,157515,183483,198119,211341,199970,206819,189457,196114,197273,184206,204774,172822,151364,187094,190643,198247,212114,199576,188274,196069,194267,190409,199994,170309,170320,190250,186642,194883,209871,192092,199303,191718,191433,194750,193170
Queens,Q7,186168,162366,189272,204708,218588,206841,214073,196086,202780,203956,190500,211622,178445,156197,192950,197096,205113,219312,206682,194972,202798,200875,197034,206716,175811,175809,196550,192882,201534,217115,198836,206401,198346,197995,201282,199550
Queens,Q13,190308,165806,193699,210214,224985,212838,220421,201799,208218,209338,195540,217202,182410,159574,197443,202406,211047,225533,212812,200625,208319,205982,202476,212068,179767,179764,201331,197835,207328,223300,204602,212411,203768,203159,206704,204608
Queens,Q12,195680,170497,199459,216828,232580,220098,228147,208722,214867,215807,201595,224063,187680,164102,203288,209071,218210,233223,220381,207584,215173,212413,209078,218770,184937,185044,207483,204086,214364,230938,211895,219974,210559,209589,213084,211073
